Ee (keV), d\omega/dEe
51.8,5.48374932713231e-32
51.9,5.4830769570655e-32
52,5.48240462186415e-32
52.1,5.48173232159999e-32
52.2,5.48106005634486e-32
52.3,5.48038782617064e-32
52.4,5.47971563114933e-32
52.5,5.479043471353e-32
52.6,5.47837134685379e-32
52.7,5.47769925772395e-32
52.8,5.47702720403579e-32
52.9,5.47635518586173e-32
53,5.47568320327424e-32
53.1,5.47501125634589e-32
53.2,5.47433934514935e-32
53.3,5.47366746975735e-32
53.4,5.47299563024272e-32
53.5,5.47232382667836e-32
53.6,5.47165205913726e-32
53.7,5.47098032769251e-32
53.8,5.47030863241726e-32
53.9,5.46963697338475e-32
54,5.46896535066833e-32
54.1,5.4682937643414e-32
54.2,5.46762221447746e-32
54.3,5.46695070115011e-32
54.4,5.466279224433e-32
54.5,5.4656077843999e-32
54.6,5.46493638112465e-32
54.7,5.46426501468117e-32
54.8,5.46359368514348e-32
54.9,5.46292239258568e-32
55,5.46225113708194e-32
55.1,5.46157991870654e-32
55.2,5.46090873753383e-32
55.3,5.46023759363826e-32
55.4,5.45956648709435e-32
55.5,5.45889541797672e-32
55.6,5.45822438636006e-32
55.7,5.45755339231916e-32
55.8,5.45688243592891e-32
55.9,5.45621151726425e-32
56,5.45554063640023e-32
56.1,5.454869793412e-32
56.2,5.45419898837476e-32
56.3,5.45352822136383e-32
56.4,5.4528574924546e-32
56.5,5.45218680172255e-32
56.6,5.45151614924326e-32
56.7,5.45084553509238e-32
56.8,5.45017495934566e-32
56.9,5.44950442207892e-32
57,5.4488339233681e-32
57.1,5.44816346328919e-32
57.2,5.4474930419183e-32
57.3,5.4468226593316e-32
57.4,5.44615231560538e-32
57.5,5.44548201081599e-32
57.6,5.44481174503988e-32
57.7,5.44414151835359e-32
57.8,5.44347133083375e-32
57.9,5.44280118255707e-32
58,5.44213107360035e-32
58.1,5.4414610040405e-32
58.2,5.44079097395449e-32
58.3,5.44012098341939e-32
58.4,5.43945103251236e-32
58.5,5.43878112131066e-32
58.6,5.43811124989163e-32
58.7,5.43744141833269e-32
58.8,5.43677162671136e-32
58.9,5.43610187510526e-32
59,5.43543216359207e-32
59.1,5.43476249224959e-32
59.2,5.43409286115571e-32
59.3,5.43342327038837e-32
59.4,5.43275372002566e-32
59.5,5.43208421014571e-32
59.6,5.43141474082677e-32
59.7,5.43074531214717e-32
59.8,5.43007592418533e-32
59.9,5.42940657701976e-32
60,5.42873727072907e-32
60.1,5.42806800539195e-32
60.2,5.42739878108719e-32
60.3,5.42672959789367e-32
60.4,5.42606045589035e-32
60.5,5.42539135515629e-32
60.6,5.42472229577065e-32
60.7,5.42405327781267e-32
60.8,5.42338430136169e-32
60.9,5.42271536649713e-32
61,5.42204647329852e-32
61.1,5.42137762184546e-32
61.2,5.42070881221766e-32
61.3,5.42004004449492e-32
61.4,5.41937131875712e-32
61.5,5.41870263508425e-32
61.6,5.41803399355638e-32
61.7,5.41736539425368e-32
61.8,5.41669683725641e-32
61.9,5.41602832264493e-32
62,5.41535985049967e-32
62.1,5.41469142090118e-32
62.2,5.41402303393009e-32
62.3,5.41335468966713e-32
62.4,5.41268638819312e-32
62.5,5.41201812958897e-32
62.6,5.41134991393569e-32
62.7,5.41068174131439e-32
62.8,5.41001361180626e-32
62.9,5.40934552549258e-32
63,5.40867748245475e-32
63.1,5.40800948277423e-32
63.2,5.40734152653262e-32
63.3,5.40667361381157e-32
63.4,5.40600574469284e-32
63.5,5.4053379192583e-32
63.6,5.40467013758989e-32
63.7,5.40400239976967e-32
63.8,5.40333470587977e-32
63.9,5.40266705600244e-32
64,5.40199945022e-32
64.1,5.40133188861489e-32
64.2,5.40066437126964e-32
64.3,5.39999689826685e-32
64.4,5.39932946968925e-32
64.5,5.39866208561966e-32
64.6,5.39799474614097e-32
64.7,5.3973274513362e-32
64.8,5.39666020128844e-32
64.9,5.39599299608089e-32
65,5.39532583579685e-32
65.1,5.39465872051971e-32
65.2,5.39399165033295e-32
65.3,5.39332462532016e-32
65.4,5.39265764556501e-32
65.5,5.3919907111513e-32
65.6,5.39132382216289e-32
65.7,5.39065697868376e-32
65.8,5.38999018079797e-32
65.9,5.38932342858971e-32
66,5.38865672214322e-32
66.1,5.38799006154288e-32
66.2,5.38732344687315e-32
66.3,5.38665687821858e-32
66.4,5.38599035566384e-32
66.5,5.38532387929368e-32
66.6,5.38465744919296e-32
66.7,5.38399106544663e-32
66.8,5.38332472813974e-32
66.9,5.38265843735745e-32
67,5.38199219318499e-32
67.1,5.38132599570773e-32
67.2,5.38065984501111e-32
67.3,5.37999374118067e-32
67.4,5.37932768430206e-32
67.5,5.37866167446103e-32
67.6,5.37799571174343e-32
67.7,5.37732979623519e-32
67.8,5.37666392802237e-32
67.9,5.37599810719111e-32
68,5.37533233382765e-32
68.1,5.37466660801834e-32
68.2,5.37400092984963e-32
68.3,5.37333529940806e-32
68.4,5.37266971678028e-32
68.5,5.37200418205303e-32
68.6,5.37133869531316e-32
68.7,5.37067325664763e-32
68.8,5.37000786614348e-32
68.9,5.36934252388786e-32
69,5.36867722996803e-32
69.1,5.36801198447135e-32
69.2,5.36734678748525e-32
69.3,5.36668163909732e-32
69.4,5.36601653939519e-32
69.5,5.36535148846664e-32
69.6,5.36468648639952e-32
69.7,5.36402153328181e-32
69.8,5.36335662920156e-32
69.9,5.36269177424696e-32
70,5.36202696850626e-32
70.1,5.36136221206785e-32
70.2,5.3606975050202e-32
70.3,5.3600328474519e-32
70.4,5.35936823945162e-32
70.5,5.35870368110816e-32
70.6,5.3580391725104e-32
70.7,5.35737471374734e-32
70.8,5.35671030490807e-32
70.9,5.35604594608179e-32
71,5.35538163735782e-32
71.1,5.35471737882555e-32
71.2,5.3540531705745e-32
71.3,5.35338901269428e-32
71.4,5.35272490527462e-32
71.5,5.35206084840534e-32
71.6,5.35139684217637e-32
71.7,5.35073288667774e-32
71.8,5.35006898199959e-32
71.9,5.34940512823217e-32
72,5.34874132546582e-32
72.1,5.348077573791e-32
72.2,5.34741387329826e-32
72.3,5.34675022407828e-32
72.4,5.34608662622181e-32
72.5,5.34542307981975e-32
72.6,5.34475958496305e-32
72.7,5.34409614174282e-32
72.8,5.34343275025025e-32
72.9,5.34276941057664e-32
73,5.34210612281339e-32
73.1,5.34144288705201e-32
73.2,5.34077970338412e-32
73.3,5.34011657190145e-32
73.4,5.33945349269583e-32
73.5,5.3387904658592e-32
73.6,5.33812749148361e-32
73.7,5.3374645696612e-32
73.8,5.33680170048423e-32
73.9,5.33613888404509e-32
74,5.33547612043623e-32
74.1,5.33481340975025e-32
74.2,5.33415075207983e-32
74.3,5.33348814751778e-32
74.4,5.33282559615699e-32
74.5,5.33216309809049e-32
74.6,5.3315006534114e-32
74.7,5.33083826221295e-32
74.8,5.33017592458848e-32
74.9,5.32951364063145e-32
75,5.3288514104354e-32
75.1,5.328189234094e-32
75.2,5.32752711170104e-32
75.3,5.3268650433504e-32
75.4,5.32620302913606e-32
75.5,5.32554106915215e-32
75.6,5.32487916349286e-32
75.7,5.32421731225253e-32
75.8,5.32355551552559e-32
75.9,5.32289377340658e-32
76,5.32223208599015e-32
76.1,5.32157045337108e-32
76.2,5.32090887564423e-32
76.3,5.32024735290459e-32
76.4,5.31958588524726e-32
76.5,5.31892447276744e-32
76.6,5.31826311556046e-32
76.7,5.31760181372173e-32
